title,location,skill,type,seniority_level,est_salary,remote,description,date
Sr. C++ Developer,Singapore,"['C', 'C++']",full time,3,0,False,"Key Duties & Responsibilities: Demonstrating an aptitude for analyzing intricate technical challenges, you will make informed technical decisions in a proactive and self-directed manner throughout all phases of the technology life cycle. Systems development on a mature, modern C++ codebase. Upholding code quality standards and accountability for your own code. Testing, evaluating, and recommending technologies to enhance overall solutions. Continually refining the development life cycle and cod…",2024-11-20 08:41:19.315275
Senior Quant Developer,Singapore,[],full time,3,0,False,"We're working with a multi-strat hedge fund, who are one of Asia's most well-funded start-up trading firms ever. They are expanding their technology function in Singapore, looking for top quant developers and front office engineers to join their team. You will be joining a hugely exciting expansion phase for the firm, working closely with Portfolio Managers and the engineering team alike. The QD team is focused on Fixed Income products, where you will be helping to develop portfolio optimizatio…",2024-11-20 08:41:19.315275
Clinical Tools Developer,Singapore,[],full time,2,0,False,"Do meaningful work with us. Every day. At Amplify Health, we're looking for individuals with ambition, resilience and passion for healthcare, insurance, wellness and digital technology. As a fast-growing business with the ambition of making people and communities across Asia healthier, we have exciting career opportunities available to help us achieve our vision. Assist and lead in the research, creation and development of Clinical Tools and Classification Systems such as groupers, classifiers,…",2024-11-20 08:41:19.315275
Research and Development Intern,Singapore,[],full time,1,0,False,"Responsibilities: •Support the development of 3D model and avatar generative AI systems, gaining hands-on experience in advanced 3D geometry, texturing, human reconstruction, and animation techniques. •Contribute to project discussions, offering innovative ideas for 3D model and avatar generation enhancements. •Collaborate closely with senior specialists to refine 3D models and avatars for optimal game integration. •Participate in research and development tasks to explore new frontiers in 3D mo…",2024-11-20 08:41:19.315275
Development Lead - Quant Risk,Singapore,['NoSQL'],full time,2,0,False,"Key Responsibilities: Architect, design, and implement solutions that meet the needs of a high-performance, real-time risk calculation platform. Work closely with the development team to ensure the successful implementation of the platform. Design and develop applications that interface with tick databases, NoSQL, and relational databases. Utilize strong domain knowledge in quant trading, with a focus on the integration between pricing engines, risk calculation, and quant analytics. Ensure robu…",2024-11-20 08:41:19.315275
Senior Business Development Consultant,Singapore,[],full time,3,0,False,"Do meaningful work with us. Every day. At Amplify Health, we're looking for individuals with ambition, resilience and passion for healthcare, insurance, wellness and digital technology. As a fast-growing business with the ambition of making people and communities across Asia healthier, we have exciting career opportunities available to help us achieve our vision. A critical position, accountable for supporting Amplify Health's (AH) business development initiatives including strategic account ma…",2024-11-20 08:41:19.315275
Java Developer - Trade Booking,Singapore,[],full time,2,0,False,"Responsibilities: Booking System Management: Design and maintain a robust booking system to capture trades with precision, ensuring no discrepancies within the market. Proactively monitor and audit trading activities to guarantee that all trades are correctly captured and accurately represented. Clearing House Functionality: Develop and enhance clearing house functionalities to ensure compliance with evolving regulatory standards. Implement efficient routing protocols for transactions, directin…",2024-11-20 08:41:19.315275
Unity Client Development Trainee,Singapore,['Unity'],full time,1,0,False,"Responsibilities: Lightspeed Studios are one of the world's most innovative and successful game developers. We are expanding across China, the United States, Singapore, Canada, Japan, South Korea, and New Zealand. Founded in 2008, LightSpeed Studios has created over 50 games across multiple platforms and genres for more than 4 billion registered users. It is the co-developer of the worldwide hit PUBG MOBILE. Develop innovative games using the Unity engine; Collaborate with the team to develop U…",2024-11-20 08:41:19.315275
Partnerships Sales Development Manager,Singapore,['Networking'],full time,3,0,False,"Partnership Strategy Development: Develop and implement a comprehensive partnership strategy aligned with the company's goals and objectives. Identify potential partners that can enhance the company's offerings and market reach. Lead Generation and Outreach: Conduct market research to identify new partnership opportunities and generate leads. Initiate and manage outreach efforts to prospective partners through networking, cold calls, and other methods. Relationship Management: Build and maintai…",2024-11-20 08:41:19.315275
Java Software Developer (Payments),Singapore,['Java'],full time,2,0,False,"Java Software Developer (Payments) Job posting done by Sheralynn Tjioe, Technology Recruitment at Kerry Consulting Email: srkerryconsulting.com Our Client is a leading leading stable firm. We are seeking a skilled Java Software Development Specialist to develop and support transaction processing modules within our core systems. In this role, you'll work with various teams to ensure high-quality project delivery, compliance with required standards. Key Responsibilities: - Develop and refine modu…",2024-11-20 08:41:19.315275
Application Developer - Cloud Solutioning,Singapore,"['Machine Learning', 'Linux']",full time,2,0,False,"Key Responsibilities: Design, develop, and maintain hybrid and cloud-based applications, libraries, and proofs-of-concept (POC). Create proof-of-concepts that balance quality and delivery timelines, demonstrating use-cases to end-users. Write code for various applications, including infrastructure-as-code, software development, data analytics scripts, machine learning samples, and automation scripts, primarily in Linux. This may involve a combination of all the above. Collaborate with business …",2024-11-20 08:41:19.315275
Senior Quantitative Software Developer,Singapore,[],full time,3,0,False,"Key Responsibilities Develop and enhance risk management, portfolio optimization tools, and support various trading strategies. Facilitate integration projects, connecting our core platform with financial vendor systems. Work closely with market risk and quant teams to improve pricing and risk libraries. Implement automated mechanisms for system robustness. Stay updated on quantitative finance and trading technology trends. Maintain system health and address production issues swiftly. Mentor ju…",2024-11-20 08:41:19.315275
Backend Developer,Singapore,"['PHP', 'MySQL', 'Laravel']",full time,2,0,False,"Job Summary: The client is expanding its development team to support its rapid growth and IT vision. We are looking for a skilled PHP/Laravel/MySQL Developer to join our team, contributing to the development and maintenance of our ERP system and its integrations with various platforms. Key Responsibilities: Develop, test, and maintain web applications using PHP and the Laravel framework. Design and implement database schemas in MySQL to support application requirements. Collaborate with front-e…",2024-11-20 08:41:19.315275
Dotnet Developer,Singapore,[],full time,2,0,False,"We are seeking a skilled and motivated Dotnet Developer to join our dynamic development team. The ideal candidate will have extensive experience in developing, testing, and maintaining software applications using the .NET framework. You will be responsible for designing and implementing new features, optimizing existing systems, and ensuring the robustness and reliability of the applications. Key Responsibilities: Design, develop, and maintain applications using the .NET framework. Collaborate …",2024-11-20 08:41:19.315275
MongoDB Developer,Singapore,['MongoDB'],full time,2,0,False,"We are looking for a skilled MongoDB Developer to handle the development, implementation, and maintenance of our MongoDB databases. You will play a critical role in managing databases that store vast amounts of data and ensure their performance, availability, and security. Responsibilities: Design and develop database structures and optimize queries for MongoDB databases to ensure high performance. Implement and manage database setups, ensuring data integrity and adherence to business requireme…",2024-11-20 08:41:19.315275
.NET DEVELOPER,Singapore,[],full time,2,0,False,"Job Overview: We are looking for a skilled .NET Developer to join our software development team. The successful candidate will be responsible for developing and maintaining high-quality applications using the .NET framework. You will be involved in the entire software development life cycle, from concept and design to implementation, testing, and deployment. You should be comfortable with both back-end and front-end coding and be passionate about delivering scalable and efficient software solut…",2024-11-20 08:41:19.315275
C++ Developer,Singapore,"['C', 'C++']",full time,2,0,False,"Description We are seeking a talented C/C++ Developer to join our team. You will be responsible for designing, implementing, and maintaining high-performance software applications for various platforms. Your role will involve collaborating with cross-functional teams to deliver scalable solutions that meet business requirements. Key Responsibilities: Develop software applications using C and C++, following best coding practices and design patterns. Analyze requirements and design specifications…",2024-11-20 08:41:19.315275
Sitecore Developer,Singapore,[],full time,2,0,False,"About Us: Innovate. Create. Elevate. At Vertis, we are on a mission to constantly innovate and create exceptional digital solutions. Our goal is to elevate our clients brands and the experiences they deliver to their customers through the power of technology-driven creativity. Our people are the catalyst, empowering our clients to successfully transform their businesses - join our team of able, confident, and motivated superstars. About the job: We are seeking a skilled Sitecore Developer to jo…",2024-11-20 08:41:19.315275
